disp,force,id,disp,force,id,disp,force,id,disp,force,id
0.0,0.0,192 elements,0.0,0.0,960 elements,0.0,0.0,2520 elements,0.0,0.0,7680 elements
0.005,4.7763699819754,192 elements,0.005,4.8699446018873,960 elements,0.005,4.8812466114841,2520 elements,0.005,4.8935081831733,7680 elements
0.01,9.5384036858687,192 elements,0.01,9.7252720614672,960 elements,0.01,9.7478421573763,2520 elements,0.01,9.7723284960035,7680 elements
0.015,14.286115462306,192 elements,0.015,14.565997010444,960 elements,0.015,14.599801303634,2520 elements,0.015,14.636475642918,7680 elements
0.02,19.019519661915,192 elements,0.02,19.392134080593,960 elements,0.02,19.437138715989,2520 elements,0.02,19.485964326487,7680 elements
0.025,23.738630635326,192 elements,0.025,24.203697903686,960 elements,0.025,24.259869060171,2520 elements,0.025,24.320809249282,7680 elements
0.03,28.443462733167,192 elements,0.03,29.0007031115,960 elements,0.03,29.068007001912,2520 elements,0.03,29.141025113872,7680 elements
0.0349999999999999,33.134030306066,192 elements,0.0349999999999999,33.783164335807,960 elements,0.0349999999999999,33.861567206943,2520 elements,0.0349999999999999,33.946626622828,7680 elements
0.04,37.810347704652,192 elements,0.04,38.551096208382,960 elements,0.04,38.640564340995,2520 elements,0.04,38.737628478721,7680 elements
0.045,42.472429279555,192 elements,0.045,43.304513360999,960 elements,0.045,43.405013069799,2520 elements,0.045,43.514045384121,7680 elements
0.05,47.120289381402,192 elements,0.05,48.043430425433,960 elements,0.05,48.154928059086,2520 elements,0.05,48.2758920416,7680 elements
